802	7.7886
803	4.1878
804	5.2461
805	6.3886
806	5.9385
807	3.7851
808	4.9386
809	4.8621
810	4.4521
811	6.2581
812	4.2278
813	4.0751
814	6.8064
815	7.0586
816	3.3257
817	6.3705
818	4.6785
819	3.9081
820	6.5767
821	5.9805
822	5.3697
823	4.2163
824	4.3480
825	6.0963
826	5.5124
827	4.9564
828	4.5273
829	6.4299
830	6.2854
831	6.1386
832	6.5529
833	5.6417
834	4.5857
835	3.1455
836	3.4258
837	3.5619
838	5.7049
839	4.2645
840	6.8689
841	5.7791
842	3.5605
843	5.8735
844	5.7601
845	6.0976
846	5.4638
847	5.2284
848	5.2824
849	4.7199
850	5.2666
851	9.2842
852	5.7976
853	4.2394
854	7.2396
855	5.8803
856	4.1001
857	5.1560
858	4.5461
859	5.6392
860	8.0419
861	4.4838
862	5.8195
863	2.8110
864	8.1252
865	4.8034
866	7.2730
867	4.5450
868	5.7279
869	9.4329
870	5.9616
871	5.9898
872	7.6711
873	4.1637
874	7.2142
875	5.3208
876	3.3706
877	4.0558
878	3.1704
879	4.4524
880	5.9782
881	4.2847
882	3.6566
883	5.8148
884	5.5737
885	3.8730
886	4.8921
887	3.7136
888	3.0419
889	3.3663
890	3.9148
891	5.4773
892	5.0339
893	3.5733
894	4.5473
895	4.9376
896	5.4306
897	7.1012
898	4.6455
899	4.9012
900	3.8506
901	4.6863
902	3.5261
903	4.9983
904	6.6091
905	3.1230
906	2.4771
907	4.7993
908	5.4365
909	4.6706
910	4.0911
911	4.9081
912	3.9703
913	5.1293
914	5.4147
915	4.7972
916	5.1843
917	4.4450
918	4.7594
919	6.2433
920	5.4606
921	3.4651
922	7.1864
923	4.7582
924	3.5222
925	5.6309
926	7.0725
927	4.3730
928	5.5283
929	5.8146
930	3.8425
931	5.2770
932	5.0127
933	2.5535
934	4.0118
935	4.6884
936	5.9756
937	4.7554
938	5.4632
939	5.3218
940	6.0874
941	3.9696
942	3.6678
943	4.3916
944	4.0061
945	3.0789
946	4.5707
947	4.7446
948	3.3583
949	5.0574
950	4.5405
951	5.0281
952	9.1400
953	5.1155
954	6.3242
955	4.5946
956	4.5630
957	6.7314
958	4.2350
959	4.8552
960	2.8919
961	4.0221
962	7.2897
963	7.5052
964	5.1373
965	4.4309
966	7.6711
967	5.8094
968	4.8182
969	4.5207
970	5.5264
971	6.6078
972	4.6298
973	4.0653
974	4.5635
975	2.4886
976	5.6621
977	3.8303
978	4.7664
979	4.7808
980	6.7587
981	5.7495
982	5.5459
983	6.7453
984	4.0353
985	5.2029
986	5.3216
987	4.9394
988	3.6078
989	4.8298
990	3.6508
991	5.4286
992	8.9928
993	5.7694
994	7.4687
995	4.3236
996	4.7308
997	4.9390
998	4.6174
999	6.0263
800	4.7806
801	3.8460
